brand,polymer,polymer_family,young_modulus_MPa,yield_strength_MPa,initial_stress_MPa_15d,final_stress_MPa_15d,stress_decay_MPa_15d,normalized_stress_day15_percent,stress_decay_day15_percent,source,notes
F22 Aligner,TPU,TPU_family,2770,81.36,22.2,3.7,18.5,15.7,84.3,Albertini et al. 2022,Direct quantitative row.
F22 Evoflex,polyurethane,TPU_family,2104,72.35,15.8,6.5,9.3,39.2,60.8,Albertini et al. 2022,Direct quantitative row.
Duran,PET-G,PETG_family,2366,61.63,12.0,0.5,11.5,3.9,96.1,Albertini et al. 2022,Direct quantitative row.
Erkoloc-Pro,PET-G/TPU,multilayer_mixed,597,31.53,5.2,2.1,3.1,36.9,63.1,Albertini et al. 2022,Direct quantitative row.
Durasoft,TPU/PC,multilayer_mixed,583,27.57,7.8,0.4,7.4,4.6,95.4,Albertini et al. 2022,Direct quantitative row.
